a 呀
aa 唉
aa 嘻
aa 嚄
aa 嚱
aa 誒
aa 譆
aagaru 擭
aageru 擭
aakari 朙
aaoo 唉
abaku 彂
abaku 挖
abaku 摘
abaku 暴
abaku 發
abaku 膊
abaku 訐
abara 肋
abara 膘
abareru 暴
abareuma 駻
abiru 浴
abiseru 浴
abu 虻
abu 蝱
abumi 鐙
abunai 危
abura 油
abura 肪
abura 脂
abura 腴
abura 膏
abura 膩
abura 臊
aburaaka 膩
aburamushi 蚜
aburamushi 蜚
aburana 蕓
aburana 薹
aburatsubo 輠
aburu 炕
aburu 炘
aburu 炙
aburu 炮
aburu 烊
aburu 烤
aburu 焙
aburu 煬
aburu 熹
aburu 熺
aburu 膋
ada 仇
ada 冦
ada 宼
ada 寇
ada 敵
ada 讎
ada 讐
adasuru 寇
adeyaka 姢
adeyaka 娞
adeyaka 娟
adeyaka 嬥
adeyaka 窈
ae 饗
aegi 嚊
aegu 啴
aegu 喘
aegu 嘽
aeru 虀
aete 仵
aete 敢
aete 肯
afureru 溢
afureru 潘
afureru 瓫
agaku 跑
agameru 崇
aganau 購
aganau 贖
agaru 僜
agaru 挙
agaru 揚
agaru 旟
agaru 昂
agaru 昜
agaru 昻
agaru 翥
agaru 隺
agaru 騰
agaru 驤
agaru 𦦙
agata 県
agata 縣
age 揚
agemaki 丫
agemaki 丱
agemaki 卝
ageru 举
ageru 偁
ageru 异
ageru 扛
ageru 抍
ageru 抖
ageru 拄
ageru 挙
ageru 捒
ageru 揚
ageru 揵
ageru 撬
ageru 擧
ageru 擻
ageru 炸
ageru 爯
ageru 称
ageru 翹
ageru 舉
ageru 襄
ageru 颺
ageru 𦦙
agetsurau 評
agetsurau 論
agimuku 倰
agimuku 儇
agimuku 嘿
agitou 喁
agitou 噞
ago 圅
ago 腮
ago 讍
ago 頉
ago 頜
ago 頥
ago 頦
ago 頷
ago 顋
ago 顎
agohige 髵
ahase 褠
ahiru 鴈
ahiru 鶩
ahu 劌
ahu 嗑
ahureru 泆
ahureru 湓
ai 姶
ai 相
ai 胥
ai 藍
ai 逢
ai 際
ai 靛
aida 間
aimuko 婭
aisatsu 儐
aite 对
aite 対
aite 對
aiyome 妯
aiyome 娌
aji 味
aji 鯵
aji 鰺
aji 鲹
ajika 堁
ajika 簣
ajika 臾
ajiro 滬
ajiwau 味
aka 丹
aka 圿
aka 垕
aka 垢
aka 朱
aka 淦
aka 絳
aka 緋
aka 赤
aka 赥
aka 赩
aka 赬
aka 赭
aka 赮
aka 黕
akaarui 朙
akaarumu 朙
akabana 齇
akagai 蚶
akagane 銅
akaginu 緹
akagire 皸
akagire 皹
akagire 胼
akagire 腁
akago 孲
akagononakigoe 婗
